area,population
"Green Bay, WI",320050
"Edmonton, AB",1321426
"Ottawa, ON",1323783
"Montreal, QC",4098927
"Greater Boston, MA",4836531
"Pittsburgh, PA",2333367
"Toronto, ON",5928040
"Calgary, AB",1392609
"Metro Detroit, MI",4313002
"Canton, OH",399927
"St. Louis, MO",2807338
"Cleveland, OH",2058844
"San Francisco Bay Area, CA",4727357
"Baltimore, MD",2808175
"Chicago, IL",9533040
"Greater Philadelphia, PA",6096120
"New York Metro Area, NY",20320876
"Kansas City, MO",2128912
"Cincinnati, OH",2179082
"Denver, CO",2888227
"Greater Los Angeles, CA",13353907
"San Antonio, TX",2473974
"Twin Cities, MN",3600618
"Washington, DC Metro Area",6216589
"Greater Raleigh, NC",567428
"Syracuse, NY",654841
"Milwaukee, WI",1576236
"Greater Miami Area, FL",6158824
"Dallas-Fort Worth, TX",7399662
"Rochester, NY",1077948
"Portland Metro Area, OR",2453168
"New Orleans, LA",1275762
"Seattle,WA",3867046
"Houston, TX",6892427
"Tampa Bay Area, FL",3091399
"Providence, RI",1621122
"Indianapolis Metro Area, IN",2028614
"Metro Phoenix, AZ",4737270
"Atlanta, GA",5884736
